id;nombre;sector_id;observaciones;
1;ADIF;1;
2;AGORA;2;
3;AIR COMET;4;
4;ALAER;6;
5;ALSA;7;
6;AMB. ALERTA;6;
7;AMB. GONZÁLEZ;6;
8;AMBULANCIAS EUROPA;6;
9;ATENTO;2;
10;AUTOBUSES SANFIZ;7;
11;BELL TELEMAR;2;
12;C.S.D. TRANSPORTE;8;
13;CANAL +;3;
14;CATSA;2;
15;CLECE;1;
16;INTERSERVE;1;
17;CONT. FERR.;1;
18;CORREOS;5;
19;DAIBUS;7;
20;DHL EXPRESS GETAFE;10;
21;DIGITEX;2;
22;DOMINION;3;
23;DORNIER;11;
24;E. Y M. INTEGRALES;1;
25;EMERGIA;2;
26;EMT;7;
27;EUROGESTIÓN;2;
28;FUND. FFCC;1;
29;GLOBALIA;14;
30;GROUNDFORCE;4;
31;GSS LINE;2;
32;GSS VENTURE;2;
33;IBERIA;4;
34;ILSA;7;
35;INAER;4;
36;IRVIA;1;
37;ISOLUX CORSAN;1;
38;KONECTA BTO.;2;
39;KONECTANET COMERCIALIZACIÓN;2;
40;KUNHE-NAGEL;8;
41;MARKTEL;2;
42;METRO LIGERO;1;
43;MULTIGESTIÓN IBERIA;4;
44;NEWCO;4;
45;NTS;3;
46;ON TIME;8;
47;QUALYTEL;2;
48;RAINBOW;2;
49;REINTEGRA;2;
50;RENFE OPERADORA;1;
51;SANITAS WELLCOME;2;
52;SAS STA SOFI;6;
53;SERTEL;2;
54;SEUR;10;
55;SITEL;2;
56;STMM;9;
57;STU EXPRES;10;
58;SWISSPORT;4;
59;TECNOCOM;1;
60;TELEFONICA;3;
61;TELEFONICA I+D;3;
62;TELEFONICA MOVILES;3;
63;TELEPERFORMANCE;2;
64;TELETECH;2;
65;TM TRANS;8;
66;TRANSCOM;2;
67;TRANSHOTEL;14;
68;TWENTY 4 HELP;4;
69;UMANO;2;
70;UNIMAIL;5;
71;UNIPOST;5;
72;UNISONO;2;
73;UNITONO;2;
74;VALORIZA FACILITIES SAV;1;
75;SEGUR CONTROL;2;
76;CARTOUR S.A.;8;
77;EULEN;1;
78;LYTEYCA;2;
79;EXTELL CRM;2;
80;MANPOWER;2;
81;CATAI TOURS;14;
82;KONECTA CEE;2;
83;ICTS;4;
84;EUCAR SL;8;
85;GSS GPV;2;
86;Acens;2;
87;Experis;2;
88;VIAJES TEJEDOR;8;
89;COBRALIA;2;
90;CLECE PMRS;4;
91;FERROSER LINEA MADRID;2;
92;CEE ILUNION;2;
93;JOIRSA;1;
94;EYSA;11;
95;EUROCARGO;4;
96;ENLACE LOGISTICO INTERNACIONAL;8;
97;SMA;4;
98;STMM;9;
99;TRAINASA;2;
100;TNT;10;
101;TELEFONICA SOLUCIONES;3;
102;INCOSA;15;
103;AVANZA AUTOBUSES;8;
104;SASU;6;
105;MSC CRUCEROS;14;
106;PEPPER;2;
107;MSM LOTE 3;11;
108;MSM LOTE 4;11;
109;INECO;1;
110;ALBITREN;1;
111;SABA PARKING CHAMARTIN;1;
112;ASACC;2;
113;OUTSERVICO;2;
114;SUMMA 112 LLAMADAS;2;
115;SERVEO;1;
116;SERVINFORM;2;
117;MAITOURS;8;
118;AMAZON;8;
119;SALESLAND;2;
120;AUTOS CHAMARTIN;8;
121;SAFE;6;
122;LA SEPULVEDANA;7;
123;DELTRANSA;15;
124;VALORIZA GRUAS;11;
125;CLECE INFO AENA;4;
126;AZULHANDLING;4;
127;ISGF;2;
128;UTE EFS CLECE;4;
129;UPS;8;
130;BIENBUS;7;
131;CIL MARKETING;2;
132;SAMAR;7;
133;DHL VALDEMORO;10;
134;GC SERVICIOS;15;
135;INTERSERVE;1;
136;OMBUDS;8;
137;FUNDRAISING;2;
138;ALARES SOCIAL;2;
139;ID LOGISTICS;8;
140;ORANGE;3;
141;TRASMEDITERRANEA;9;
142;SCHEMBRI;9;
143;CORNIDE;9;
144;MARITIMA PEREGAR;9;
145;ALBACORA;9;
146;ISCOMAR;9;
147;TEEKAY;9;
148;OPDR;9;
149;TMA;9;
150;GALICA OFFSHORE;9;
151;REMOLCANOSA;9;
152;REMASA;9;
153;BOLUDA CASTELLON;9;
154;SUARDIAZ;9;
155;BUQUEBUS;9;
156;REMOLCADORES MALAGA;9;
157;TARIFA TRAFICO;9;
158;TRASATLANTICA;9;
159;OCEAN GOING;9;
160;PETROBRAS;9;
161;IEO;9;
162;NAVICOM;9;
163;ISCOMAR;9;
164;JUAN DE LA COSA;9;
165;MARITIMA ALGECIREÑA;9;
166;CONTENEMAR;9;
167;LINEAS MARITIMAS ESPAÑOLAS;9;
168;TPTES. MARITIMOS ALCUDIA;9;
169;EASYJET;4;
170;WFS;4;
171;LESMA;4;
172;AZULHANDLING;4;
173;ADSL HOUSE;2;
174;RENHUES LOGISTICS;8;
175;KONECTA SOLUCIONES GLOBALES;2;
176;E-VOLUCIONA;2;
177;AYUDA CALL CENTER;2;
178;CUSTOMERTOP;2;
179;WIR SIND4;10;
180;ETT;15;
181;FEDEX;8;
182;ABANTE;2;
183;TOURIST BUS;7;
184;BOLLORE;9;
185;SELECTIVA ETT;2;
186;TEYAME;2;
187;AENA;4;
188;TEAM4;2;
189;SERVITELCO;2;
190;UNIVERSAL SUPORTS;2;
191;THE FUNDRAISING;2;
192;BTREN;1;
193;CIGNA;2;
194;UNISONO GROUP;2;
195;DUE;9;
196;DEUSTO SISTEMAS;2;
197;MULTISERVICIOS AEROPORTUARIOS;4;
198;AEROSPACE CARGO;4;
199;GSS CEE;2;
200;ATENTO HOLDCO;2;
201;CONTACT SERVICE;2;
202;LUCKIA GAMES;2;
203;AMERICAN EXPRESS;14;
204;TRANSFASA;10;
205;Konecta Gestión Integral;2;
206;METRO DE MADRID;7;
207;APARCA AND GO;7;
208;T.E. CONSULTING TELEMARKETING;2;
209;ALTHENIA;1;
210;KONECTA ANDALUCIA;2;
211;CEDIPSA;8;
212;AUSSA;8;
213;SERVICIOS DIX 2012;2;
214;INTECH BUSINESS AND LIFFE;2;
215;SASEMAR;9;
216;AUCENSA;7;
217;INTECH UNISONO;2;
218;LLORENTE BUS;7;
219;DATONO;2;
220;LA VELOZ;7;
221;GROUNDLINK;4;
222;AUSSA;7;
223;OCON MDRLÑA. TPTES.;8;
224;ALSA;7;
225;MAETRANS;8;
226;BUSINESS CARS MADRID;7;
227;GROUNDLINK;4;
228;TELEFONICA DIGITAL;3;
229;BT ESPAÑA;3;
230;LOGIRAIL;1;
231;KONECTA GIP;2;
232;CAPGEMINI;15;
233;BERGE-GEFCO;7;
234;NOKIA;2;
235;MOOVECARS;7;
236;VTC;7;
237;DRONAS 2002;7;
238;INDUFISA;7;
239;QUIRON SALUD;2;
240;AVIANCA;4;
241;CIGNA;2;
242;DIGITEX BPO;2;
243;SUM CALL;2;
244;CIGNA;2;
245;ILUNION PMR;1;
246;TELECYL;2;
247;TRANSCOM GLOBAL;2;
248;TRANSCOM NUEVOS MEDIOS;2;
249;ENKOTEANS;2;
250;ADT LOGISTA;10;
251;STEFF IBERIA;10;
252;I-KONEKT;2;
253;FONOMARKET;2;
254;BIDAFARMA;8;
255;TAXI;7;
256;MST;2;
257;DHL QUER;10;
258;SIFU;2;
259;AZULHANDLING;4;
260;EZENTIS;3;
261;TRILADAGEST S.L.;8;
262;UTE TILO MADRID ABROÑIGAL;1;
263;ELVIAN S.L.;8;
264;GRUPO LACORSIUNI;10;
