id;visualizaciones;descargas;publicado;user_id;numero;empresa_id;categoria_id;fecha;titulo;subtitulo;cuerpo;pdf;imagen;adjunto;created_at;updated_at
1;79;0;1;1;1.17;2;;02/01/2017;CGT EXIGE DESTINAR EL DINERO PÚBLICO A ERRADICAR LA PRECARIEDAD, NO A DESTRUIR EMPLEO DIGNO;;"El pasado 23 se convocó al CGE para tratar el “Plan de desvinculaciones 2017”, donde se nos informó de las 1383 solicitudes y de la necesaria aprobación ministerial y de la autorización de la tasa de reposición para su trámite, se nos dijo que la disponibilidad presupuestaria alcanza a unas 500 desvinculaciones y que quieren llevarlo a cabo cuanto antes. Los sindicatos firmantes del anterior plan de destrucción de empleo y del Convenio Colectivo de la instauración de la precariedad, se quejaron amargamente ya que ellos ya habían hecho su trabajo avalando la bajada de salarios y aceptando temporalidad y precariedad para el ingreso de nuevos trabajadores (el 60% del empleo digno destruido en 2016).

En dicha reunión CGT hemos manifestado que los ingresos deberían estar ya encima de la mesa y hemos denunciamos que mucha contratación es de carácter temporal, junto con la externalización de muchos trabajos y servicios y que dado el tipo de servicio que prestamos y la empresa que conformamos, debemos hacerlo con personal estable si queremos garantizar la viabilidad. Hemos hecho un llamamiento a la sensatez, exponiendo que con esta nueva destrucción de empleo, se ahondarán los problemas de abandono y mal servicio por falta de plantilla en todos los servicios, proponiendo una vez más soluciones prácticas existentes, como jubilaciones parciales a los 61 años con contratos de relevo y proponiendo diálogo y una visión más amplia de la situación, que garantice el futuro y el carácter público de la empresa. Por ello en dicha reunión CGT anunciamos que ante lo que consideramos un paso más en el camino emprendido de la destrucción de empleo digno y de la normalización de la precariedad ante las nuevas contrataciones, que no llegan al 60% de los puestos de trabajo destruidos, no avalábamos este proceso.

En la reunión del día 29 a la que fuimos de nuevo convocados ante la falta de acuerdo, asistimos a un nuevo episodio de mercadeo y postureos. Desde CGT insistimos que debe existir un número de ingresos suficientes, que reviertan el camino de la destrucción de puestos de trabajo, y que además se debe erradicar la precariedad y la temporalidad en estas nuevas contrataciones. Reivindicamos un  plan de viabilidad, con salidas justas e incorporaciones dignas.

Al día siguiente, nos convocan como comisión negociadora de Convenio, donde la dirección de la empresa y los representantes de un sindicato acuden tres horas más tarde a la cita, haciéndonos esperar al resto. Anuncian que amplian a 565 desvinculaciones, firmando la mayoría un acta para trasladar todo a la Comisión de Seguimiento, sin hablar de tasas de reposición, ni de planes para eliminar la precariedad ni las constantes externalizaciones de trabajos y servicios.

Desde CGT insistimos en destinar el dinero público en paralizar la destrucción de empleo que constantemente venimos padeciendo desde hace años, en erradicar la precariedad que intentan normalizar para las nuevas contrataciones, y en internalizar cargas de trabajo, servicios y trabajador@s para dar viabilidad a la empresa y garantizar su carácter público, facilitando salidas justas al personal de más edad y años de trabajo  con contrataciones suficientes y dignas.

EL DINERO PÚBLICO PARA RECUPERAR LOS EMPLEOS DIGNOS DESTRUIDOS.

LA PRECARIEDAD EN RENFE ES UNA LACRA QUE CON TU APOYO VAMOS A ERRADICAR

¡AFÍLIATE!";COM-001-020117-RENFE CGT SEGUIMOS SIN AVALAR LA PERDIDA DE EMPLEO.pdf;;;02/01/2017 00:00;02/01/2017 00:00
2;54;0;1;1;2.17;2;;09/01/2017;LA AUDIENCIA NACIONAL DA LA RAZÓN AL INCREMENTO DE LOS COMPLEMENTOS PERSONALES;;"La audiencia nacional estima las demanda sobre los conceptos salariales a los que la empresa no procedió a incrementar en un 1% al considerarlos esta ajenas a la estructura salarial.

Tras el juicio del conflicto colectivo de pasado 15 de diciembre,  en el que se demandaba a Renfe por los incumplimientos de incrementos salariales, en el día de hoy ha sido notificada la sentencia. 

La Audiencia Nacional da la razón respecto a las pretensiones exigidas sobre el incremento salarial dejado de abonar por RENFE sobre determinadas cantidades que la Empresa calificaba “Ad personam” y que su manera de entenderlas era como claves de indemnización y no como conceptos salariales.

Esta interpretación que RENFE hacía sobre los complementos personales nada tiene que ver con la realidad, ya que la sala social de la Audiencia Nacional entiende que estos conceptos son de carácter salarial,  y que, de acuerdo con la Ley Presupuestos Generales de 2016 y la Cláusula 4ª del Convenio sobre tratamiento económico, como tales deben verse incrementados en un 1% puesto que de manera genérica para todas estas claves se reconoce por el Convenio Colectivo.

Esta sentencia condena a la Empresa y declara el derecho de todos los trabajadores afectados a que la Empresa (es decir,  todo el Grupo RENFE) aplique la subida salarial  pactada en convenio sobre los conceptos salariales integrados en la clave 200 con una aplicación retroactiva con fecha de 1 de enero de 2016.

Esta sentencia es susceptible de recurso de Casación ante el Supremo, por lo que todavía no es firme y la aplicación de la misma será competencia de RENFE en última instancia, si decide o no recurrir.

DESDE CGT EXIGIMOS A LA DIRECCIÓN DE LA EMPRESA QUE REGULARICE DE OFICIO EL INCREMENTO SALARIAL DEL 1% DE TODOS LOS COMPLEMENTOS PERSONALES, DE NO SER ASÍ NOS VEREMOS EN LA OBLIGACIÓN DE EMPRENDER, DE NUEVO, LAS ACCIONES LEGALES NECESARIAS.

¡POR LA DEFENSA DE TUS DERECHOS!
";COM-002-090117-RENFE Audiencia nacional da razon incremento comp personales.pdf;;COM-002-ANEXO Sentencia AN200 de 2016 del 1 per cento.pdf;09/01/2017 00:00;09/01/2017 00:00
3;62;0;1;1;3.17;1;;10/01/2017;CGT RECLAMA LA APLICACIÓN DEL EBEP A LOS JEFES DE ADIF Y ADIF A.V. QUE NO SON ALTA DIRECCIÓN;ESTO SUPONE, ENTRE OTRAS COSAS, 6 DÍAS DE ASUNTOS PROPIOS AL AÑO;"Los trabajadores de ADIF y ADIF AV pertenecientes a Estructura de Dirección están excluidos del convenio colectivo. Desde CGT consideramos que el convenio debería extenderse a este colectivo, para mejorar sus condiciones laborales y además, para que los ascensos a estas categorías se realicen mediante un procedimiento reglado basado en criterios de igualdad, mérito y capacidad. 

En todas las ocasiones en las que hemos planteado esta cuestión (la última durante la negociación del convenio), la Dirección de ADIF ha respondido con una negativa total. 

La Dirección de la Empresa mantiene esta situación injusta porque así aumenta su poder, al decidir discrecionalmente los ascensos a Estructura de Dirección, unos ascensos que no se realizan siguiendo criterios de igualdad, mérito y capacidad. Ni siquiera se rigen por la mínima transparencia que debería tener una empresa pública, puesto que el trabajador que quiere ascender a estas categorías no sabe qué criterios se utilizan. Con el vigente sistema de ascensos a dedo es difícil que se recompense la eficacia al servicio público.
 
Por estos motivos, desde CGT reclamamos la incorporación de este colectivo al convenio. Sabemos que no es una tarea sencilla y no queremos crear falsas expectativas: ante la negativa de la Dirección de la Empresa, será necesaria la movilización de los propios afectados. Los sindicatos, en este caso la CGT, defendemos y proponemos lo que consideramos justo, pero sin presión por parte de los trabajadores no se consigue mucho. 

Al margen de que consigamos entre todos la inclusión de los jefes que no son alta dirección en el convenio, desde CGT hemos reclamado a la Dirección de ADIF y ADIF AV que aplique a este colectivo los derechos que la legislación reconoce, en concreto los artículos del Estatuto Básico del Empleado Público (EBEP) que así lo dispongan.

El EBEP contiene regulaciones que se aplican sólo a los funcionarios y otras que se aplican a los funcionarios y al personal laboral al servicio de las Administraciones Públicas, como somos todos los trabajadores de ADIF y ADIF AV. 

En el caso del personal de convenio, consideramos que se debe aplicar la norma más beneficiosa para el trabajador (el EBEP o el convenio). En el caso de los jefes que no pertenecen a la alta dirección, al estar excluidos del convenio, se debe aplicar el EBEP, para los artículos que así lo dispongan. 

Entre los aspectos aplicables al personal laboral al servicio de las Administraciones Públicas el Estatuto Básico del Empleado Público incluye seis días de asuntos propios al año. Por este motivo, desde CGT nos hemos dirigido a la dirección de ADIF y ADIF AV reclamando que reconozca los seis días de asuntos propios al personal excluido del convenio, para evitar así tener que llegar a plantear medidas jurídicas. 
	
¡CGT EN DEFENSA DE TODOS LOS TRABAJADORES!
";COM-003-100117-ADIF CGT reclama aplicacion EBEP.pdf;;COM-003-ANEXO Carta solicitud aplicacion estatuto empleado EBEP.pdf;10/01/2017 00:00;10/01/2017 00:00
4;66;0;1;1;4.17;2;;11/01/2017;PUESTA EN SERVICIO DEL LIBRO DE NORMAS;;"En el día de ayer y a falta de 9 días para la entrada del nuevo Reglamento de Circulación Ferroviaria y por lo tanto del Libro de  Normas del Maquinista, se convoca la Comisión General de Seguridad, para informar sobre las previsiones  de la documentación normativa a editar por RENFE en el 2017.

Se nos hace una presentación sobre el proceso de análisis de toda la normativa a nivel central, tanto la de ADIF, ADIF AV y la del ámbito de la extinta FEVE (Consignas Serie C, Experimentales, etc.), un total de 1154 documentos, distribuidos entre: Documentos a derogar, documentos a editar por ADIF sobre Mercancías, Material y Gestión/Formación (aunque no todos afectan a RENFE)
 
Además tienen intención de crear un grupo de trabajo en los meses de abril – mayo, del que formarán parte los vocales de seguridad en la circulación, con el fin de analizar y adaptar la documentación actual, la creación de la nueva documentación y el diseño y formato de los nuevos documentos.

El pasado 27 de Diciembre, se editó el Aviso SC-G Nº 01/17 con dos anejos, cuyo objetivo es señalar los cambios más importantes que sucederán a partir del próximo día 19 de enero, con la entrada en vigor del Reglamento de Circulación Ferroviaria (RCF) y la derogación del RGC, NEC, PTO, RCT, RS y otros documentos relacionados con los mismos, que afecta tanto a RENFE como a la extinta FEVE. Para CGT nos parece ilógico que a día de hoy todavía no haya sido distribuido dicho documento en algunas residencias, por la importancia del mismo y cuando el plazo prudencial para su distribución son 10 días.

El 9 de enero, se editó el AVISO SC-G Nº 03/2017, donde queda reflejado la DOCUMENTACIÓN EN VIGOR DEL GRUPO RENFE, relacionados con la Seguridad en la Circulación. Además de la derogación del RGC, NEC, PTO, RCT y RS. En este Aviso, quedarán plasmados los nuevos documentos y de donde provienen de la anterior nomenclatura. Esperamos que su distribución se realice de la manera adecuada, no como ocurrió con el Aviso anteriormente indicado.

Nos informan también que hasta el 19 de enero “convivirán” conjuntamente, en la página de Interesa en el apartado de Seguriteca, la relación de documentos emitidos con anterioridad, como los de nueva creación.

Ante el requerimiento por la falta de APÉNDICES y EL PROCEDIMIENTO 13 del LNM, nos informan que en breve serán distribuidos, una falta de previsión más en la forma en la que se ha llevado todo este proceso.

En relación al DOCUMENTO DE TREN, nos informan que, una vez pasada la fase experimental, se implantará en todos los trenes, aunque puede estar sujeto a cambios. Desde CGT mostramos nuestro malestar ya que entendemos que en dicho proceso experimental tendría que haber participado la totalidad del colectivo, o en cualquier un número mayor del que participó. Sobre el retraso de la distribución del LIBRO DE TELEFONEMAS, lo justifican a problemas con la imprenta y que en cualquier caso a partir del día serán distribuidos.

El próximo día 19, con la implantación del LNM, y con el fin de resolver cualquier tipo de duda que pudiera surgir ante la citada implantación, van a crear un GRUPO DE TRABAJO PERMANENTE 24 HORAS, para los días 19 y 20, facilitando en su momento los números de teléfonos. 

DESDE CGT TENEMOS CLARO QUE TODO EL PROCESO QUE CONLLEVA LA IMPLANTACIÓN DEL NUEVO RCF Y POR CONSIGUIENTE EL LNM, HA SIDO UN AUTÉNTICO DESATINO: FALTA DE DOCUMENTACIÓN A LA HORA DE INICIAR LOS CURSOS, FORMACIÓN A TRAVÉS DE VIDEOCONFERENCIAS Y PARA COLMO EL RETRASO EN LA DISTRIBUCIÓN DE DOCUMENTACIÓN ESENCIAL PARA QUE ESTE CAMBIO NO SUPONGA NINGÚN PROBLEMA. TENEMOS CLARO QUE PARA CGT LA SEGURIDAD EN LA CIRCULACIÓN ES UN PILAR FUNDAMENTAL, POR DESGRACIA, Y A LAS MUESTRAS NOS REMITIMOS, PARA LA DIRECCIÓN DEL GRUPO RENFE NO.

            ¡LUCHA POR EL FUTURO Y POR TUS DERECHOS!
";COM-004-110117-RENFE CONDUCCION Puesta en servicio LNM.pdf;;;11/01/2017 00:00;11/01/2017 00:00
5;77;0;1;1;5.17;2;;13/01/2017;SITUACIÓN DE RENFE MERCANCÍAS ;;"En el día de hoy hemos mantenido una reunión entre el CGE y la Dirección del Grupo RENFE con un único punto en el orden del día: Situación de RENFE Mercancías S.A. 

Desde CGT mostramos nuestra preocupación por la situación de la Sociedad de Mercancías, algo que ya conocíamos y sobre las expectativas de futuro que nos plantean. Para CGT, es fundamental potenciar el transporte de mercancías por ferrocarril como empresa pública, dada la importancia estratégica del mismo como alternativa al transporte por carretera. 

La mala gestión por parte de las distintas direcciones de la Empresa nos ha llevado a la situación en la que nos encontramos, en la que las empresas privadas transportan un porcentaje similar al de RENFE, sino que además se llega al punto de perder cargas de trabajo, en empresas en las que tenemos un accionariado mayoritario, a favor de empresas privadas.

En cualquier caso no se puede achacar la situación en la que se encuentra en la actualidad RENFE Mercancías solo a un sobredimensionamiento de la plantilla, habrá que buscar responsabilidades en los malos gestores que por desgracia hemos padecido.

DESDE CGT TENEMOS CLARO QUE, ENTRE TODOS, TENEMOS QUE DAR UNA SOLUCIÓN SATISFACTORIA A LA SOCIEDAD DE MERCANCÍAS Y EN CONSECUENCIA A SUS TRABAJADORES, Y QUE ESTA DEBE PASAR POR UN PERÍODO DE NEGOCIACIÓN Y DIÁLOGO ENTRE LA DIRECCIÓN DE LA EMPRESA Y EL CGE, PARA ENTRE TODOS BUSCAR LAS FÓRMULAS MÁS ACERTADAS Y QUE GARANTICEN EL FUTURO DE LOS TRABAJADORES. LO QUE NO VAMOS A PERMITIR ES QUE POR UN LADO NOS DIGAN BUENAS PALABRAS Y POR OTRO ESTÉN APLICANDO EL ARTÍCULO 41 DEL ESTATUTO DE LOS TRABAJADORES.

El Director General de RENFE Mercancías hizo una exposición de la situación actual en la que se encuentra la Sociedad, de los motivos que nos han llevado a esta situación y de unos planes de futuro para intentar dar viabilidad a esta Sociedad.

La situación y el panorama de futuro que desde la Dirección nos trasmiten es bastante desalentador, no hay viabilidad económica para aguantar mucho tiempo y su intención es que de manera consensuada, y entre todos, podamos revertir la misma y que RENFE Mercancías tenga futuro, incluida la parte de Ancho Métrico, tan maltratada por el anterior Director General. 

Indican que de no poder alcanzar un acuerdo sobre este punto, el trabajo que en la actualidad desarrolla RENFE Mercancías caería a manos privadas.

Para intentar diseñar el desarrollo de las medidas necesarias que permitan revertir esta situación se iniciará una secuencia de reuniones, los martes y jueves de este mes de enero.


         ¡CON UNA BUENA GESTIÓN, HAY VIABILIDAD!
";COM-005-130117-RENFE Situacion de RENFE Mercancias.pdf;;COM-005-ANEXO Acta reunion Grupo Renfe yCGE situacion Mercancias.pdf;13/01/2017 00:00;13/01/2017 00:00
6;87;0;1;1;6.17;1;;16/01/2017;MODIFICACIONES EN POLÍTICA SOCIAL;AYUDAS GRACIABLES;"Tras algunos meses y bastantes reuniones, desde la Comisión de Política Social e Igualdad hemos conseguido llegar a un acuerdo por unanimidad, para introducir algunas modificaciones en los Requisitos y las cantidades a percibir en materia de Ayudas Graciables, hemos pretendido clarificar al máximo los requisitos, mejorar en lo posible y facilitar trámites. Las novedades más significativas  serían:

•	Se eleva el gasto mínimo para solicitar la ayuda de 400 a 500€, pero como novedad se da la posibilidad de presentar  facturas por gastos de óptica y farmacia, exclusivamente, por un importe mínimo de 200€ en ambos casos.

•	Se cubren todos los gastos de odontología excepto los de carácter estético.

•	La cantidad mínima por gastos de farmacia se baja a 200€ y se puede presentar solicitud de ayuda de forma independiente.

•	En gastos ópticos se eleva la cantidad máxima a valorar por la montura de 90€ a 100€, y se puede presentar solicitud de ayuda, de forma independiente,  a partir de 200€ de gasto.

•	Para gastos por celiaquía, basta con presentar anualmente el informe médico de aquellos miembros de la unidad familiar que la padezcan (ya no habría que ir sumando y presentar todos los tickets de compra) y se establecen unos importes fijos a percibir para cada uno de ellos, 200€ para quienes tengan unos ingresos brutos que no superen los 42.071€ y 100€ para quienes estén en el tramo de 42.072 hasta los 60.101€.

•	Gastos por intervención óptica, se establece como cantidad máxima a percibir 500€, pero se amplía la cobertura a los integrantes de la unidad familiar, en caso de intervención laser. El resto de técnicas de intervención óptica sólo para el trabajador/a.

•	La cantidad máxima a percibir en caso de adopción y por reproducción asistida se eleva de 600€ a 800€ y se podrá solicitar en ambos casos hasta en 3 ocasiones.

•	Se aprueba como novedad la ayuda para dejar de fumar, solo para el propio trabajador/a, por gastos de medicamentos para tal fin, mediante informe que acredite que el tratamiento se efectúa a través del sistema público de salud, en el que figuren los medicamentos prescritos y las fechas de inicio y fin de dicho tratamiento. Esta ayuda sólo se podrá percibir en una ocasión.

•	Ayudas a víctimas de violencia de género. Se valorarán como ayudas extraordinarias en los términos que estime la Comisión.

•	Se regulan las fechas de entrega y plazos para aportar documentación.

•	En las Ayudas por Incapacidad Temporal : El plazo para solicitarla será como máximo hasta un año después de la fecha de alta.

El baremo establecido para el cálculo de las ayudas según la suma de los ingresos brutos percibidos por la unidad familiar, se mantiene como estaba:
<PRE>
Hasta 21.000 €	                - 60%
Desde 21.001 hasta 25.844 euros	- 40%
Desde 25.845 hasta 42.071 euros	- 20%
Desde 42.072 hasta 60.101 euros	- 10%
</PRE>
Se incrementarán en un 10 % los porcentajes que correspondan sobre este baremo, para las familias numerosas, portando documento acreditativo de esta situación.

La cantidad máxima anual de ayuda que podrá percibir un trabajador/a es de 1503€.

Estas novedades  han de ser ratificadas por el Comité General de Empresa,  antes de entrar en vigor, los modelos de Solicitud de las Ayudas Graciables y el Nuevo Extracto de Requisitos, estarán disponibles en nuestra página, como hasta ahora y para resolver cualquier duda estamos a vuestra disposición. 

¡CGT EN DEFENSA DE TOD@S L@S TRABAJADOR@S!
";COM-006-160117-ADIF Ayudas graciables.pdf;;;16/01/2017 00:00;16/01/2017 00:00
7;19;0;1;1;7.17;12;;19/01/2017;LA PROPUESTA DE CONVENIO SE TRASLADA A LA PLANTILLA;;"Tras una nueva reunión de la Comisión Negociadora del Convenio Colectivo, una más de las que hemos mantenido a lo largo de este último año, la propuesta que nos presenta la Dirección de Ferrovial dista mucho de los objetivos, que desde CGT nos marcamos para garantizar un convenio digno para todos los trabajadores.

La Empresa, con el fin de “VENDER SU PRODUCTO” está entregando una carta en los centros junto con la última propuesta; esto después de que la Representación de los Trabajadores solicitara dicha propuesta con el fin de transmitirla al conjunto de los trabajadores para que opinaran al respecto. 

En la carta una vez más argumentan, su falta de liquidez y beneficios, su necesidad de  tener una mayor flexibilidad en los turnos de trabajo, más días de trabajo al año y una permisividad mayor en los días “sueltos” para los trabajadores de servicios a bordo. Resumiendo, esta Dirección de Ferrovial es insaciable y no les basta con las medidas de tiempos atrás y quieren dar una vuelta de tuerca más para seguir exprimiendo a los trabajadores, trasladando la  viabilidad del contrato a costa de la plantilla, que hoy por hoy es la única que está pagando injustamente los errores de licitación de la empresa.

La supuesta subida del 8% que se alcanzará durante toda la vigencia del convenio, 5 años, no es real, ya que no se contempla la sujeción a las subidas del IPC, y esa prolongación en el tiempo perjudica claramente a los trabajadores, ya que significará pérdida de poder adquisitivo, teniendo en cuenta las previsiones de los expertos económicos para los próximos años.

Algunas cosas de las que ofrecen como sabéis eran cosas que nos han “despojado” a base de torticeras interpretaciones de nuestro convenio, aún a sabiendas que la anterior prestataria las cumplía sin problemas. 

Nos piden un acto de fe hasta 2020, pero los hechos nos demuestran cual ha sido su actuación desde su llegada, y nos “amenazan” diciéndonos que no aceptar su propuesta supone la imposibilidad de garantizar la viabilidad de  la Empresa y la pérdida de condiciones más beneficiosas.

Tras mantener reuniones con el resto de organizaciones sindicales, se han planificado asambleas de las cuales encontrareis las convocatorias de fecha y lugar en los tablones.

DESDE CGT LUCHAREMOS POR UN CONVENIO DIGNO QUE GARANTICE LA RECUPERACIÓN DEL PODER ADQUISITIVO PERDIDO EN ESTOS AÑOS, QUE DEVUELVA NUESTROS DERECHOS, QUE DE MANERA INJUSTA NOS HAN QUITADO Y QUE ADEMÁS VAYA EQUIPARANDO LOS DISTINTOS COLECTIVOS. 

                 ¡POR UN CONVENIO DIGNO!
";COM-007-190117-FERROVIAL La propuesta se traslada a la plantilla.pdf;;;19/01/2017 00:00;19/01/2017 00:00
8;64;0;1;1;8.17;2;;19/01/2017;ES NECESARIO BUSCAR LA VIABILIDAD PARA RENFE MERCANCÍAS ;;"En el día de hoy hemos mantenido la segunda reunión de las previstas para este mes de enero, entre el CGE y la Dirección del Grupo RENFE con el fin de abordar, en el marco de las actuaciones que permitan garantizar la viabilidad de la Sociedad, las adaptaciones referidas a los recursos humanos en RENFE Mercancías S.A. 

En esta reunión siguen manteniendo el documento entregado el pasado día 17, en la que se detallan tanto la relación de categorías como la de residencias que entienden pueden ser prescindibles para Mercancías. El número de trabajadores afectados sería de 146, y en esa relación no figura el personal de Dirección al estar excluido de convenio y tener un contrato personal. 

Además y en lo referente a recursos humanos de la Sociedad, entienden que habrá una reducción añadida en el número de trabajadores con las movilidades y adscripciones del personal de conducción a RENFE Viajeros.

La Dirección de la Empresa indica que para garantizar que el mayor número de trabajadores se puedan quedar en su residencia o en su grupo profesional, tienen que conocer las preferencias de los trabajadores, haciéndonos entrega de un modelo de petición de Movilidad de los trabajadores de RENFE Mercancías a las otras Sociedades del Grupo, cuyo plazo de presentación finaliza a las 14 horas del próximo 25 de enero.

Queda claro que, entre todos, tenemos que dar una solución satisfactoria a RENFE Mercancías, que le dé viabilidad a la Sociedad; además de garantizar el futuro de los trabajadores que se queden en Mercancías, como el de los que se vayan a las otras sociedades del Grupo, y que estas actuaciones se deben hacer de manera consensuada y no a través de amenazas con la aplicación del artículo 41 del Estatuto de los Trabajadores. Como ya dijimos en anteriores comunicados la situación en la que se encuentra RENFE Mercancías en la actualidad es debido a la mala gestión de las distintas Direcciones, en ningún caso de los trabajadores.

DESDE CGT ENTENDEMOS QUE ESTAS POSIBLES ACTUACIONES EN EL ÁREA DE RECURSOS HUMANOS TIENEN QUE LLEVAR APAREJADA OTRAS ACTUACIONES A OTROS NIVELES, POLÍTICO, EMPRESARIAL, ETC. QUE REALMENTE ASEGUREN ESA VIABILIDAD. SE TIENE QUE POTENCIAR LA CAPTACIÓN DE NUEVOS MERCADOS, INTERNALIZACIÓN DE CARGAS DE TRABAJO, POTENCIAR EL TRANSPORTE POR FERROCARRIL COMO EMPRESA PÚBLICA Y COMO ALTERNATIVA DEL TRANSPORTE POR CARRETERA, ETC.

¡CON UNA BUENA GESTIÓN, HAY VIABILIDAD PARA RENFE MERCANCÍAS!
";COM-008-190117-RENFE Es necesario buscar viabilidad RENFE Mercancias.pdf;;;19/01/2017 00:00;19/01/2017 00:00
9;143;0;1;1;9.17;10;;23/01/2017;¿QUÉ ES LOGIRAIL?;¿QUIÉN LA GESTIONA? ¿QUIÉN ENTRA A TRABAJAR EN ELLA? ¿EN QUÉ CONDICIONES?;"Logirail es una empresa ferroviaria, en la actualidad con capital 100% de Mercancías S.A. Día a día está acaparando cargas de trabajo y servicios de las empresas públicas Grupo Renfe y Adif. Recientemente firmó un convenio colectivo con la única representación de UGT, único sindicato que se presentó a las recientes y apresuradas elecciones sindicales, que fueron organizadas con mucha urgencia y nadie más se presentó. Este Convenio supone establecer unos niveles de precariedad nunca vistos hasta ahora en el sector ferroviario, hasta el año 2019 que expira.  

Los directivos de Logirail, aseguran que están en plena expansión ocupándose de las cargas de trabajo que Grupo Renfe y Adif no aceptan o abandonan, a pesar del acuerdo de Garantías que pomposamente firmaron todos los sindicatos excepto CGT, que asumían la segregación de Renfe en Sociedades Anónimas y de Adif en dos entes.

Desde CGT entendemos que esta empresa se ha fundado para ahondar en el proceso de sustituir empleo digno y estable por empleo precario, con la complicidad de los sindicatos oficiales y gremialistas. CGT no tolera que el personal de logirail, fruto del miedo infundido contra ellos, tengan unas condiciones de trabajo tan precarias, siendo los que soportan el peso del despotismo y la mala organización de la empresa, por lo que tomaremos las medidas oportunas.

Por otro lado vamos a exigir a los Representantes de los Trabajadores elegidos en este turbio proceso, que hagan uso de forma rigurosa de sus obligaciones en defensa de los trabajadores de Logirail, contrastando y supervisando que no solo haya servido este proceso para estampar la firma que legalmente necesitaba la empresa para poder sacar adelante un Convenio Colectivo de la que ella es la gran beneficiada.

CGT queremos hacer notorio también que esta empresa con capital 100% público, en ningún momento ha publicitado una Oferta Pública de Empleo, como debería ser por ley y por transparencia en la gestión de lo común, donde todos los interesados pudieran participar de forma igualitaria y limpia. Parece ser que la forma utilizada para ampliar su plantilla es pasar un curriculum a determinados sindicatos, que en base a afinidad, parentescos o intereses oscuros, eligen entre los recogidos a los futuros trabajadores. Todo con dinero público, y esto no olvidemos que tiene un nombre jurídico. 

Desde CGT defendemos el trabajo estable y de calidad, luchamos contra la lacra de la precariedad y exigimos igualdad de oportunidades, así como una empresa ferroviaria única y pública.

CONTRA LA PRECARIEDAD Y LA POBREZA LABORAL
¡AFÍLIATE Y DEFIENDE LA TRANSPARENCIA Y LAS CONDICIONES LABORALES DIGNAS!
";COM-009-230117-LOGIRAILQue es logirail.pdf;;;23/01/2017 00:00;23/01/2017 00:00
10;22;0;1;1;10.17;2;;26/01/2017;LOS TRABAJADORES DE RENFE MERCANCÍAS EN NINGÚN CASO SON RESPONSABLES DE LA SITUACIÓN DE LA EMPRESA;;"En el día de hoy hemos mantenido una nueva reunión, del CGE y la Dirección del Grupo RENFE para abordar, el marco de actuaciones que permitan garantizar la viabilidad de la Sociedad RENFE Mercancías. En primer lugar el Gerente de Área de Org. y RR.HH. de RENFE Mercancías nos informa que el número de solicitudes computadas hasta el momento han sido un total 97, de unos 30 centros de trabajo, aunque indican que se siguen recibiendo solicitudes, presentadas en plazo, en las jefaturas de recursos humanos. 

Desde CGT tenemos claro que la situación actual y de futuro de la Sociedad de Mercancías es preocupante, pero lo que no nos parece lógico es que únicamente nos estemos centrando en los Recursos Humanos. Nos da la impresión de lo que se pretende por parte de la Dirección del Grupo RENFE es responsabilizar a los trabajadores de la situación de RENFE Mercancías, cuando los únicos responsables son los gestores pasados y presentes. 

Esto está causando bastante preocupación e incertidumbre entre los trabajadores, porque comprueban con asombro que para la Dirección del Grupo RENFE, el personal perteneciente a la Dirección y que está fuera de convenio, no le supone a la Sociedad ningún “lastre”, y no están incluidos en la relación de trabajadores, que según RENFE Mercancías son “prescindibles”. Lo único que nos dicen es que estudiarán caso por caso.

Necesitamos tener conocimiento del personal que ha remitido las peticiones en este sondeo, la carga de trabajo que desempeñan en la actualidad, y qué va a ocurrir con el trabajo que desempeñan actualmente, ¿Se va a externalizar?, porque si es así, lo único que estamos consiguiendo es favorecer a empresas privadas o participadas y por consiguiente aumentando la precarización en RENFE, algo a lo que desde CGT nos oponemos y contra lo que venimos luchando. 

Toda esta información referida a RRHH se nos debe facilitar para su análisis y la valoración que proceda, tal y como viene reflejado en el acta del pasado 19 de enero. Para garantizar la transparencia de todo este proceso, sería necesario conocer vacantes, funciones, etc. Aunque en este punto y basándose en lo firmado por el resto de organizaciones sindicales en el I Convenio Colectivo del Grupo RENFE, la Dirección de la Empresa nos informa que no nos van a facilitar la identificación de las vacantes.

EN CUALQUIER CASO DESDE CGT TENEMOS CLARO QUE NO VAMOS A AVALAR, NINGUNA ACTUACIÓN REFERIDA A RR.HH. SIN TENER UN PLAN ESTRATÉGICO PARA LA SOCIEDAD, Y HECHOS QUE NOS DEMUESTREN  QUE DE VERDAD SE ESTÁ ACTUANDO PARA DAR VIABILIDAD A RENFE MERCANCÍAS Y GARANTÍAS DE FUTURO PARA LOS TRABAJADORES QUE, VOLUNTARIAMENTE, SE QUEDEN EN LA SOCIEDAD DE RENFE MERCANCÍAS Y  AQUELLOS, QUE DE FORMA VOLUNTARIA TAMBIÉN, DECIDAN PASAR A LAS OTRAS SOCIEDADES DEL GRUPO RENFE O DEL EPE. 

¡CON UNA BUENA GESTIÓN, HAY VIABILIDAD PARA RENFE MERCANCÍAS!
";COM-010-260117-RENFE Los trabajadores de RENFE Mercancias.pdf;;;26/01/2017 00:00;26/01/2017 00:00
