"id";"nombre";"slug";"descripcion";"logo";"vales";"comunicados";"activa";"created_at";"updated_at"
"1";"ADIF";"adif";"El Administrador de Infraestructuras Ferroviarias";"empresas/logos/adif.png";"1";"1";"1";"2024-04-03 11:02:00";"2024-04-03 11:02:00"
"2";"RENFE";"renfe";"Gestión de trenes y Viajeros";"empresas/logos/renfe.png";"1";"1";"1";"2024-05-03 16:28:00";"2024-05-03 16:28:00"
"3";"CGT";"cgt";"La Confederación General del Trabajo";"empresas/logos/cgt.png";"0";"1";"0";"2024-05-03 16:41:00";"2024-05-03 16:41:00"
"4";"CONJUNTO";"conjunto";"Para los comunicados conjuntos";"empresas/logos/conjunto.png";"0";"1";"0";"2024-06-03 12:00:00";"2024-06-03 12:00:00"
"5";"ADIF-RENFE";"adif-renfe";"Afectan a ambas empresas";"empresas/logos/adif-renfe.png";"0";"1";"0";"2024-06-03 12:09:00";"2024-06-03 12:09:00"
"6";"SECTOR";"sector";"Para lo que afecta al Sector Federal Ferroviario";"empresas/logos/sector.png";"0";"1";"0";"2024-06-03 12:06:00";"2024-06-03 12:06:00"
"7";"GENERALES";"generales";"Para asuntos generales";"empresas/logos/generales.png";"0";"1";"0";"2024-06-03 12:09:00";"2024-06-03 12:09:00"
"8";"SERVICIOS EXTERNOS";"servicios-externos";"Servicios Externos";"empresas/logos/servicios-externos.png";"0";"1";"0";"2024-06-03 11:56:00";"2024-06-03 11:56:00"
"9";"S.AUX-AT.CLI";"saux-atcli";"Servicios Auxiliares // Atención al Cliente";"empresas/logos/saux-atcli.png";"0";"1";"0";"2024-06-03 11:53:00";"2024-06-03 11:53:00"
"10";"SERVEO";"serveo";"Servicios Auxiliares";"empresas/logos/serveo.png";"0";"1";"1";"2024-05-03 16:48:00";"2024-05-03 16:48:00"
"11";"LOGIRAIL";"logirail";"Servicios Auxiliares";"empresas/logos/logirail.png";"0";"1";"1";"2024-05-03 16:53:00";"2024-05-03 16:53:00"
"12";"SABA";"saba";"Servicios Auxiliares";"empresas/logos/saba.png";"0";"0";"1";"2024-06-03 10:11:00";"2024-06-03 10:11:00"
"13";"FERROVIAL";"ferrovial";"Servicios Auxiliares";"empresas/logos/ferrovial.png";"0";"0";"1";"2024-06-03 10:15:00";"2024-06-03 10:15:00"
"14";"FGV";"fgv";"Servicios Auxiliares";"empresas/logos/fgv.png";"0";"0";"1";"2024-05-03 16:49:00";"2024-05-03 16:49:00"
"15";"ILUNION";"ilunion";"Servicios Auxiliares";"empresas/logos/ilunion.png";"0";"0";"1";"2024-06-03 10:22:00";"2024-06-03 10:22:00"
"16";"ATHISA MEDIO AMBIENTE";"athisa-medio-ambiente";"Servicios Auxiliares";"empresas/logos/athisa-medio-ambiente.png";"0";"0";"1";"2024-06-03 10:38:00";"2024-06-03 10:38:00"
"17";"INTERSERVE";"interserve";"Servicios Auxiliares";"empresas/logos/interserve.";"0";"0";"1";"2024-06-03 10:40:00";"2024-06-03 10:40:00"
"18";"ACCIONA";"acciona";"Servicios Auxiliares";"empresas/logos/acciona.png";"0";"0";"1";"2024-05-03 16:45:00";"2024-05-03 16:45:00"
"19";"BTREN";"btren";"Servicios Auxiliares";"empresas/logos/btren.png";"0";"0";"1";"2024-06-03 10:47:00";"2024-06-03 10:47:00"
"20";"EUROMACLEAN";"euromaclean";"Servicios Auxiliares";"empresas/logos/euromaclean.png";"0";"0";"1";"2024-06-03 10:51:00";"2024-06-03 10:51:00"
"21";"VECTALIA RAIL S.A.";"vectalia-rail-sa";"Servicios Auxiliares";"empresas/logos/vectalia-rail-sa.png";"0";"0";"1";"2024-06-03 10:59:00";"2024-06-03 10:59:00"
"22";"CLECE LIMPIEZA";"clece-limpieza";"Servicios Auxiliares";"empresas/logos/clece-limpieza.png";"0";"0";"1";"2024-06-03 11:04:00";"2024-06-03 11:04:00"
"23";"CLECE ACERCA";"clece-acerca";"Servicios Auxiliares";"empresas/logos/clece-acerca.png";"0";"0";"1";"2024-06-03 11:14:00";"2024-06-03 11:14:00"
"24";"IRYO";"iryo";"La operadora de trenes Italiana";"empresas/logos/iryo.png";"0";"0";"1";"2024-06-03 11:22:00";"2024-06-03 11:22:00"
"25";"ACTREN";"actren";"Servicios Auxiliares";"empresas/logos/actren.png";"0";"0";"1";"2024-06-03 11:25:00";"2024-06-03 11:25:00"
"26";"OUIGO";"ouigo";"La operadora de trenes Francesa";"empresas/logos/ouigo.png";"0";"1";"1";"2024-06-03 11:28:00";"2024-06-03 11:28:00"
"27";"Rubatec";"rubatec";"Empresa de limpieza en Cataluña";NULL;"0";"0";"0";"2024-05-08 13:49:57";"2024-05-08 13:49:57"
"28";"Contratas Ferroviarias";"contratas-ferroviarias";"Para los documentos de las Contratas Ferroviarias";NULL;"0";"0";"0";"2024-05-08 13:52:57";"2024-05-08 13:52:57"
"29";"FEVE";"feve";"Ferrocarriles Españoles de Via Estrecha";NULL;"0";"0";"0";"2024-05-08 14:03:16";"2024-05-08 14:03:16"
"30";"ALSTOM";"alstom";"Empresa italiana perteneciente al sector ferroviario, siendo originalmente una filial de Fiat Group. 
Después fue vendida en el año 2002 a la compañía francesa Alstom.";NULL;"0";"0";"0";"2024-05-08 14:06:22";"2024-05-08 14:08:18"
"31";"THALES";"thales";"Thales";NULL;"0";"0";"0";"2024-05-08 16:49:23";"2024-05-08 16:49:23"
"32";"V2-ALENTIS";"v2-alentis";"V2-ALENTIS";NULL;"0";"0";"0";"2024-05-08 16:50:38";"2024-05-08 16:50:38"
"33";"CAF";"caf";"CAF";NULL;"0";"0";"0";"2024-05-08 16:51:59";"2024-05-08 16:51:59"
