"id";"visualizaciones";"publicado";"user_id";"empresa_id";"categoria_id";"fecha";"titulo";"slug";"subtitulo";"cuerpo";"adjunto";"imagen";"created_at";"updated_at"
"1";"0";"1";"1";"3";"1";"2015-01-05";"AÑO NUEVO, TELE NUEVA - CGT ESTRENA CANAL DE TV";"ano-nuevo-tele-nueva-cgt-estre";"Rojo y Negro tv es un espacio televisivo crítico, anarcosindicalista y libertario patrocinado por CGT, por, para y desde el movimiento obrero y su lucha de clase.
Emitido en directo en Madrid en Canal 33 y en la web de rojoynegrotv.org";"Os dejamos los enlaces para que podáis darle a me gusta, seguir o suscribirse al canal para que podáis seguir los movimientos y contenidos del nuevo espacio televisivo con mayor facilidad. Y muy importante, haciéndose seguidor, fan o suscribirse, en cada una de estas páginas nos ayudas a crecer en número en seguidores y capacidad de difusión colectiva, para nosotr@s es un placer que podamos contar con tu ayuda en este sencillo apoyo con el sencillo gesto de un click dentro de cada uno de estos enlaces para que crezcamos en numero de seguidores y difusión.<br><br><br><a href=""https://www.facebook.com/pages/Rojo-y-Negro-TV-1565990816969804?fref=ts"">FACEBOOK</a><br><br><a href=""https://twitter.com/rojoynegrotv"">TWITTER</a><br><br><a href=""https://www.youtube.com/channel/UCAdtgt5slNceh_0z2dQqpLw/feed"">YOUTUBE</a><br><br><a href=""http://rojoynegrotv.org/"">WEB</a><br><br>Gracias a tod@s de antemano.<br>Esperamos estar a la altura con humildad y sin perder la perspectiva.<br><br>AÑO NUEVO TELE NUEVA. <br><br>Va por vosotr@s. ;)<br>Salud y acierto a tod@s!";"NULL";"NULL";"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"2";"0";"1";"1";"3";"1";"2015-01-22";"25E - Movilízate contra la Ley Mordaza";"25e-movilizate-contra-la-ley-m";"La CGT llama a la población a participar masivamente en las Manifestaciones que se convocarán por las Marchas de la Dignidad en todo el estado contra la Ley Mordaza y contra la Represión el día 25 de enero. Es muy necesario y urgente aglutinar fuerzas contra esta agresión terrible hacia todas las personas que luchan y manifiestan su rechazo e indignación con las políticas liberticidas que están condenando a la mayoría social a la miseria, la exclus";"Sufrimos un endurecimiento represivo en el que la norma es tratar a quienes se manifiestan o disienten a palos, con cargas, identificaciones, multas, detenciones e incluso con peticiones de gravísimas penas de prisión como a Alfon, a los anarquistas secuestrados el pasado 17 de diciembre o a un sinfín de sindicalistas. Esto responde a una falta de tradición democrática en la que el respeto a los ciudadanos y ciudadanas no existe. En lugar de servir al pueblo, de atenderlo o escuchar sus demandas, se le considera enemigo potencial, un sospechoso al que hay que abatir.<br><br>En el tercer Estado con menos delincuencia de Europa, que tiene más prisiones que hospitales, quieren llenar sus cárceles de disidentes, de dignos compañeros y compañeras de lucha.<br><br>Para justificar el endurecimiento de medidas represivas, que sucede ya a nivel europeo, no dudan en utilizar incluso el reciente atentado en la revista Charlie Hebdo. En París hemos visto a todos los líderes europeos pretender erigirse en paladines de la libertad de expresión y los valores democráticos mientras que, excusados en la lucha antiterrorista, aprueban leyes que convierten en terrorista a cualquier ciudadano.<br><br>Liquidar libertades y convertir derechos fundamentales en delitos, es lo que estas reformas pretenden institucionalizar. Con ello, el régimen da cobertura legal a la represión ya en marcha y garantiza la seguridad al bloque dominante: corruptos, especuladores, explotadores… La Ley de Seguridad Ciudadana y la Reforma Penal son en realidad leyes para la seguridad del régimen.<br><br>Estas leyes son una mordaza a las protestas sociales, con la Ley de Seguridad Ciudadana los escraches, las manifestaciones no comunicadas, el uso de imágenes de la policia o las ocupaciones de entidades públicas o privadas como forma de protesta, serán objeto de multas desorbitadas.<br><br>Asimismo, la Reforma Penal que convierte las faltas en delito castigará con penas de cárcel o antecedentes penales conductas propias de la protesta social como la resistencia pasiva, obstaculizar un desahucio o una detención, o difundir consignas que animen al desorden público. Se criminaliza a colectivos que no suponen un peligro para la sociedad, como activistas, inmigrantes y personas sin recursos, y sin embargo no se endurece el castigo contra la corrupción ni contra otros delitos cometidos sólo por quien maneja grandes cantidades dinero.<br><br>Con la Ley Mordaza las conductas que ahora se resuelven ante un juez por la vía penal, lo que te garantiza una serie de derechos a la hora de defenderte de las acusaciones de la policía, serán sancionadas por la propia policía bajo el dictado del gobierno del régimen. Adiós a la separación de poderes. La Ley Mordaza, además pretende dar cobertura legal a las llamadas “devoluciones en caliente” contrarias al derecho internacional de asilo.<br><br>La respuesta popular ante esta flagrante vulneración de derechos fundamentales, pasa por la firmeza ideológica, por desafiar al régimen monárquico, conocer nuestros derechos y que el movimiento popular no retroceda. Pasa por no caer en sus trampas de criminalización y por saber, de forma clara, que estas leyes están pensadas para proteger a los Urdangarines y las infantas, a los de los sobres y las tarjetas black, a los empresarios que llenan esos sobres, a los de los viajes a Canarias a costa de todos nosotros y nosotras, a las que hacen recortes criminales en sanidad y asesinan mascotas mientras esconden coches de lujo invisibles en el garaje.<br><br>Pero juntos vamos a combatir su represión, sus leyes mordaza, su condena a pagar la deuda y cada uno de sus ataques a los ciudadanos y ciudadanas. Vamos a seguir defendiendo nuestros lemas: PAN, TRABAJO, TECHO Y DIGNIDAD.<br><br>Somos la resistencia democrática y decimos que ¡NO PASARÁN!<br><br>CONTRA LA REPRESIÓN.<br><br>¡No a la Ley Mordaza y no a la Reforma Penal!";NULL;NULL;"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"3";"0";"1";"1";"5";"1";"2015-01-27";"POR UN FERROCARRIL PÚBLICO Y SOCIAL";"por-un-ferrocarril-publico-y-s";"Elecciones sindicales en Renfe y Adif 2015
Elige CGT";"<iframe class=""w-full"" height=""400px""src=""//www.youtube.com/embed/wN0jA0QwiBk"" frameborder=""0"" allowfullscreen></iframe>";"NULL";"NULL";"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"4";"0";"1";"1";"3";"1";"2015-02-09";"“La recuperación de la que habla Rajoy es cierta...";"la-recuperacion-de-la-que-habl";"...los ricos, los banqueros y las grandes corporaciones, se han puesto morados con los millones de euros robados de las arcas públicas”. 
CGT denuncia la gran estafa que el gobierno del PP y la Troika están llevando a cabo desde el inicio de la “gran crisis”, a costa de la mayoría social, a la cual se les deja morir por no poder pagar un medicamento, como en los casos de la hepatitis C.";"<br><br>CGT denuncia que hay cientos de miles de personas, migrantes, a las cuales se les niega la asistencia sanitaria, muertes producidas por no tener personas profesionales formadas y suficientes en las Urgencias, miles de personas desahuciadas de sus casas, millones de trabajadores y trabajadoras sin ningún tipo de protección, por estar paradas en contra de su voluntad.<br><br>CGT denuncia también que se dediquen miles de millones para las Fuerzas de Seguridad, con el único fin de que, por medio de una ley liberticida como es la “Ley Mordaza”, aseguren los negocios, criminalizando a quien proteste por ser despedido/a o desahuciado/a, violando el derecho fundamental de todo ser humano (derecho a techo) o, simplemente proteste porque no quiere morir (hepatitis C, Urgencias, etc.), habiendo medicamentos y conocimientos suficientes para tener una salud y una vida digna.<br><br>CGT denuncia la desvergüenza de todos los gobiernos de la troika que han posibilitado que en el 2014, los cinco grandes bancos españoles (Santander, BBVA, Caixabank, Sabadell y Popular) hayan aumentado sus beneficios en ese año en un 27,1%, lo que en términos absolutos supone 10.000 millones de euros.<br><br>El sistema financiero ha recibido del “estado”, es decir, de todos nosotros y nosotras, de manera directa, cerca de 100.000 millones y, de manera indirecta (avales, garantías, etc.), hasta 300.000 millones, desde los inicios de su gran “crisis-estafa”. El banco Santander, él solito, ha obtenido en el 2014 la friolera de 5.816 millones de euros de beneficios, el 39% más que en el ejercicio anterior; el BBVA 2.618 millones, el 27,1% más que en el 2013; Caixabank 620 millones, un 23,2% más; el Popular 330,4 millones, un 31,4% más; el Sabadell 371,7 millones, un 50% más.<br><br>El mes de enero, en términos de empleo, paro y afiliaciones a la seguridad social, vuelve a pinchar el “gran globo mediático de la recuperación del PP y de la troika”, se destruyeron 200.000 puestos de trabajo. Los contratos realizados en el mes de enero ascendieron a 1,36 millones, de los cuales solamente el 8,8% fueron contratos indefinidos (120.239), el resto, es decir, 1.239.761, fueron temporales, de todo tipo pero temporales, con un incremento de los contratos a tiempo parcial del 27%. El paro registrado en los Servicios Públicos de Empleo aumentó en 77.980 personas, situando el paro registrado en 4.525.691 personas, a 31 de enero de 2015. La EPA da un millón más, es decir hasta los 5,5 millones de personas paradas.<br><br>Son tiempos de recuperación de “la gran vida de empresarios, banqueros y oligarquía política”, los cuales cada vez roban más y las leyes les otorgan mayor impunidad, a la vez son los tiempos en que, las personas trabajadoras, paradas, mujeres, migrantes, las personas más conscientes, luchadoras, en definitiva, la mayoría social, SEGUIMOS EN MARCHA por el PAN, TRABAJO, TECHO Y DIGNIDAD, es decir, en lucha por la LIBERTAD. Por eso volvemos a Madrid el 21 de Marzo de 2015.<br><br>Secretariado Permanente del Comité Confederal de la CGT<br>";"NULL";"NULL";"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"5";"0";"1";"1";"5";"1";"2015-02-28";"CGT denuncia maniobras en Renfe y Adif para penalizar al sindicalismo combativo";"cgt-denuncia-maniobras-en-renf";"VALORACION DEL ACUERDO DE ADECUACION DE LOS ORGANOS DE REPRESENTACION.- El acuerdo que firmaron los sindicatos mayoritarios, en Adif el 28 de enero y en Renfe el 13 de febrero, establece, por mayoría del Comité General de Empresa, legalizar, de una manera torticera e interesada la penalización al sindicalismo combativo y alternativo de CGT.";"Este acuerdo, pretende castigar a quienes nos hemos opuesto desde la movili";NULL;NULL;"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"6";"0";"1";"1";"3";"1";"2015-03-11";"Tercer programa de RNtv: 'Las Marchas de la Dignidad vuelven a Madrid'";"tercer-programa-de-rntv-las-ma";"Programa emitido en directo el pasado martes 10 de marzo, desde el Canal33 de Madrid y en streaming  rojoynegrotv.info";"¿Es cierta la recuperación económica que venden Rajoy, consejos de ministros, y diversos políticos? ¿Entonces, por qué vuelven las Marchas de la Dignidad a Madrid el próximo 21M?<br><br>Presenta:   Adriana Castizo @musicadrika<br>Invitados:<br><br>- Fco.Javier García Bort (Secretario de Comunicación S";NULL;NULL;"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"7";"0";"1";"1";"3";"1";"2015-03-12";"El 21 de Marzo de 2015: Las Marchas de la Dignidad vuelven a Madrid";"el-21-de-marzo-de-2015-las-mar";"Desde las pasadas Marchas 22M del año pasado no sólo no han cambiado la situación de las mayorías sino que han empeorado, desahucios todos los días, despidos y trabajo basura, siguen bajando los salarios, crece la brecha salarial entre hombres y mujeres, crece la exclusión social, el hambre infantil y un largo etc.";"Por todos estos motivos, las Marchas de la Dignidad 22M vuelven a Madrid el 21 de Marzo para confluir a las 18: tod@s unid@s en Colón para ";NULL;NULL;"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"8";"0";"1";"1";"3";"1";"2015-03-25";"CONCENTRACIÓN CONTRA LA REPRESIÓN SINDICAL A CGT, EL 30 DE MARZO";"concentracion-contra-la-repres";"Los ferroviarios, afiliados y simpatizantes de CGT, nos concentraremos el día 30 de marzo en la estación de Atocha (junto a los cabezones). Desde CGT queremos dejar clara nuestra oposición a la represión sindical que supone habernos eliminado todos los medios estatales en Adif, y una reducción desproporcionada en la provincias en Renfe y Adif con respecto a los sindicatos firmantes del famoso acuerdo sobre derechos sindicales";"La postura de CGT fue desde un principio que las empresas aplicaran los recortes que consideraran para adecuarse al Real Decreto del Gobierno, no nos opusimos, pero dijimos y mantenemos que los que quedaran se repartieran proporcional y democráticamente en las urnas. Las urnas hablaron y en el caso de Adif, CGT a diferencia de cc.oo, ugt, y scf, obtuvo una importante subida porcentual y en delegados con respecto al proceso electoral del 2011, pues bien la respuesta a estos resultados ha sido eliminar de un plumazo todos los medios estatales y provinciales que nos correspondían, por no ser firmantes de este dichoso acuerdo.<br><br>Si algún trabajador tiene alguna duda al respecto, no tiene nada más que leerse el Acta final de la Junta Electoral General de Adif del 24 de Marzo, que se encuentra colgada en la página de inicia (intranet.adif.es), o acercarse a cualquiera de nuestras secciones sindicales.<br><br>En CGT entendemos estos hechos como un duro ataque a nuestra Organización, puesto que hemos venido denunciando irregularidades, prebendas y favoritismos a algunos sindicatos afines especialmente interesados como cc.oo, en que nos quedemos sin herramientas, para que no sigamos defendiendo los derechos de los ferroviarios firmemente, que no sigamos poniendo en evidencia su complicidad con las empresas y Ministerio y que no podamos seguir denunciando tantos asuntos que no interesan que sean investigados. Molestamos a los intereses de las tres patas del sistema en el Sector Ferroviario: Ministerio-Sindicatos afines- Empresas, luego nos quieren quitar de en medio.<br><br>Ante estas represalias dictatoriales, pasando por encima de la decisión democrática del reparto de medios en las elecciones, los ferroviarios estamos convocados para concentrarnos el 30 de marzo y mostrar nuestra repulsa a estas decisiones antidemocráticas. Seguiremos luchando por un reparto justo, democrático y equitativo de estos medios, y por supuesto desde CGT queremos dejar claro que independientemente de los medios vamos a seguir luchando por los derechos de los trabajadores, lo llevamos haciendo 30 años, a base de dignidad, honradez y sentido de la justicia.<br><br>POR UN REPARTO DEMOCRÁTICO DE LOS MEDIOS SINDICALES<br>CONTRA LA REPRESIÓN SINDICAL A CGT<br>¡PARTICIPA EN LA CONCENTRACIÓN DEL 30 DE MARZO EN ATOCHA!<br>";NULL;NULL;"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"9";"0";"1";"1";"3";"1";"2015-04-06";"Objeción Fiscal 2015";"objecion-fiscal-2015";"La CGT lanza su campaña de objeción fiscal para 2015, este año apoyamos los proyectos de 'Tamquem els CIEs' y 'Rereguarda en Moviment', espereramos la participación de todas y todos.";"No con nuestro dinero <br><br>Implacable en su presión fiscal, El Estado no cesa de pedirnos: IRPF, IVA, impuestos indirectos, tasas...  Y en este tiempo de tremendos recortes en gasto social, de pérdida de derechos y de la mayoría de nuestras conquistas, de desmantelamiento de lo público, cuando el parco estado del bienestar que aún disfrutábamos se tambalea, observamos con vergüenza cómo, año tras año, se renuevan enormes inversiones en el más estéril de los gastos: el Gasto Militar.  <br><br>La Administración se queda, ejercicio tras ejercicio, con cientos de euros de cada contribuyente. ¿Para qué? Para comprar armamento (¿contra quién se usará?), para absurdas intervenciones militares en el exterior (los nuevos modos del colonialismo “humanitario”), para sostener el complejo de la inútil investigación militar...<br><br>Hacer Objeción Fiscal<br><br>Frente a este despropósito, la ciudadanía tiene un arma: la Objeción Fiscal.<br><br>La Objeción Fiscal que no es otra cosa que nuestra negativa a colaborar con el Estado en los gastos de preparación de guerras y en el mantenimiento de la estructura militar, desobedeciendo activamente en el momento de realizar la declaración de la renta (IRPF). Consiste, técnicamente,  en aprovechar la declaración del IRPF para desviar una parte de la totalidad de nuestros impuestos a un proyecto que trabaje en la defensa de un progreso social solidario.<br><br>¿Cómo se hace?<br><br>La declaración del IRPF supone una magnífica oportunidad de recuperar este dinero y destinarlo a un fin justo. Cualquier persona, tenga o no ingresos, tenga o no nómina, esté o no dada de alta, puede hacer la declaración de Hacienda y reclamar este dinero al Estado para desviarlo a un proyecto alternativo por la Paz. Puede salir a pagar, a devolver o de cuota cero... En todos los casos es posible objetar. Si la declaración es recibida ya hecha o se confecciona con un programa informático, siempre es posible copiar manualmente los datos a un impreso en papel –añadiendo la objeción– y presentarla en Hacienda o en el banco.<br><br>Dos maneras concretas de hacerla:<br><br>Cuota fija: teniendo en cuenta que el Estado ha destinado este último año la cantidad de 721,83€/persona, para gastos militares, se establece una cuota orientativa para objetar de 84€. Teniendo en cuenta que es orientativa y que la persona que objeta decidirá si la cantidad es mayor o menor.<br><br>Cuota abierta: puesto que la administración dispone de tantos medios para recaudar nuestro dinero, resulta complicado determinar la cantidad exacta que nos cobran a lo largo de todo un año. Sin embargo, la Objeción Fiscal es, ante todo, una acción pública y colectiva de denuncia al militarismo y una interpelación a la sociedad. Es mucho más importante el hecho de objetar que la cantidad objetada y, por ello, cualquier cantidad (por pequeña que pueda ser) es válida.<br><br>En ambos casos la mecánica es muy fácil:<br><br>    Hacer la declaración de la renta hasta llegar al apartado de “Retenciones y demás pagos a cuenta”. Tachar uno de los subapartados no utilizado y escribir encima: “Por Objeción Fiscal al Gasto Militar”. En la casilla, añadir, la cantidad a objetar (la cuota fija o cualquier cuota abierta decidida).<br>    Terminar normalmente el resto de la declaración, sin olvidar que el “Resultado de la declaración” tiene que verse disminuido -si es “a pagar”- en una cantidad igual a la cantidad objetada o que la cantidad a devolver -si es “a devolver”- tiene que verse aumentada también en dicha cantidad.<br><br>Recuerda:<br><br>La declaración  puede salir a pagar, a devolver o de cuota cero. Siempre es posible declararse persona objetora y reclamar el dinero de los impuestos destinado al gasto militar y desviarlo a un proyecto alternativo por la PAZ.<br><br>Es posible utilizar el programa P.A.D.R.E., la página web de Hacienda, los servicios de una gestoría o la cita previa para hacer los cálculos generales de la declaración, pero sin entregarla. Después se trasladan los números manualmente a un impreso, se calcula la objeción y, ahora sí, se entrega a Hacienda o se presenta en el banco.<br><br>Para las dos opciones:<br><br>Acabada la declaración, se ingresa la cantidad de la objeción fiscal al gasto militar en el proyecto alternativo elegido. Es necesario solicitar que en el concepto del recibo requerido al banco al realizar el ingreso alternativo aparezca “Objeción Fiscal al Gasto Militar”.<br><br>No olvidar adjuntar a la declaración el justificante del ingreso.<br><br>La Objeción Fiscal al Gasto Militar es una herramienta humilde pero eficaz, permite evitar que parte de nuestra riqueza se destine a fines criminales y, a la vez, denunciar la financiación del militarismo y poder dedicar algo de nuestro dinero a fines socialmente útiles y transformadores.<br><br>Nuestros destinos Alternativos<br><br>Rereguarda en Moviment<br><br>Rereguarda en moviment (Retaguardia en movimiento) es una plataforma antirepresiva de diferentes movimientos sociales de la ciudad de Barcelona y Catalunya. Una alianza colectiva para mantener una estructura que proteja a todas las personas que participan de manifestaciones o acciones colectivas.<br><br>Nos centramos en el apoyo legal, psicosocial y comunicativo de personas que hayan sido agredidas, detenidas o incluso hayan muerto en manos de la policia. Para hacer esta labor rereguarda ayuda a crear grupos autónomos como el de Justicia Juan Andrés Benitez, Assemblea de Suport detingudes Efecte Canvies o Yassir el Younoussi (etc) centralizando  recursos para luego poder repartirlos entre los diferentes grupos existentes o que vayan a ser creados en la próxima jornada de lucha social!<br><br>Tanquem els CIEs<br><br>La campaña Tanquem els CIEs, enmarcada en la Campaña Estatal por el Cierre de los CIEs es un colectivo que nace de la necesidad de visibilizar y denunciar la existencia de estos centros sistemáticamente invisibilizados por el Estado.<br><br>Los Centros de Internamiento de Extranjeros forman parte del complejo entramado de control de migraciones en el contexto del Europa fortaleza y son un símbolo del racismo institucional que se ejerce en todo Europa. El CIE, pero,  es sólo una parte de la red que se continúa entre otros con la frontera sur (Ceuta y Melilla), las redadas racistas, los vuelos de deportación o los impedimentos burocráticos e institucionales a las personas migrantes.<br><br>""Tanquem els CIEs"" trabajamos en el acompañamiento y la denuncia de situaciones de injusticia que sufren las personas internas en estos centros. La denuncia de su existencia, de las vulneraciones de derechos que  suceden y el trabajo por el cierre son los ejes centrales de acción, junto con la sensibilización de la sociedad civil en cuanto al racismo y las fronteras.<br><br>Datos bancarios: Las dos organizaciones han decidido repartirse a partes iguales las cantidades que lleguen a la siguiente cuenta bancaria:<br><br>Associació per la Promoció de la cooperació al Poble Sec (ACOOPSEC)<br><br>N.I.F. G-65967465 - Entidad beneficiaria: ACOOPSEC<br><br>En Concepto de la transferencia poner ""objeción fiscal CGT""<br><br>Caja Laboral - IBAN ES23 3035 0175 8317 5001 4046<br><br>Compte corrent: 3035 0175 83 1750014046";"NULL";"NULL";"2024-07-11 10:08:38";"2024-07-11 10:08:38"
"10";"0";"1";"1";"3";"1";"2015-04-16";"STOP TTIP - CETA - TISA";"stop-ttip-ceta-tisa";"Con motivo de la movilización Estatal que realizaremos el próximo 18 de abril, sacamos esta campaña contra la firma, por parte de Estados Unidos y la Unión Europea, del Tratado Trasatlántico de Libre Comercio (TTIP).";"¿Qué es el TTIP?<br><br>El Tratado Transatlántico de Comercio e Inversiones (TTIP por sus siglas en inglés) entre EE.UU. y la UE es un tratado de libre comercio que se está negociando de espaldas a la ciudadanía, sin consultar a la sociedad civil, entre las grandes empresas multinacionales y las élites políticas de ambas regiones, con el objetivo de constituir la mayor zona de libre comercio del mundo. Tiene como objetivo real  desregular y eliminar derechos sociales, laborales, normativas medioambientales, etc... así como  privatizar los servicios públicos: la salud, la educación, el agua, los transportes, la gestión de residuos, etc…) para conseguir cada vez más y más beneficios y aumentar constantemente la tasa de ganancia.<br><br>Para ello se deben garantizar las inversiones de las empresas por encima de las leyes de los Estados, a los que éstos tendrán que indemnizar si ven disminuido el nivel previsto de sus ganancias, a través del Instrumento de Resolución de Conflictos entre Inversores y Estados (ISDS), los famosos tribunales de arbitraje, no sometidos a la justicia ordinaria de los Estados.<br><br>El TTIP es una vuelta de tuerca más para intentar acabar con los derechos de la ciudadanía y disciplinar a los trabajadores y trabajadoras, al acentuar los procesos de recortes, privatización y liberalización de flujos de capitales, aumentando todavía más el poder del gran capital, tal como ha sucedido con otros tratados (un ejemplo claro es el Tratado de Libre Comercio de Norteamérica entre EE.UU., Canadá y México). Desde esta perspectiva, si se firma, sus consecuencias van a ser muy negativas para  los derechos sociales y laborales, el empleo, la agricultura, la alimentación, el mundo rural y el medio ambiente.<br><br>¿Qué supondrá para los trabajadores y trabajadoras?<br><br>Consecuencias para el empleo<br><br>Según informes favorables a la firma del TTIP, se crearían dos millones de puestos de trabajo en EE.UU. y la UE y un aumento del Producto Interior Bruto (PIB) en la UE entre el 1% y el 0,5% hasta 2027, pero la misma Comisión Europea lo reduce al 0,1%. Se destruirían empleos en la industria cárnica, el sector de los fertilizantes, el bioetanol, el azúcar, bienes de equipo  el sector metalúrgico y en la agricultura, destruyendo la vida rural y la industria local.<br><br>Un estudio alternativo y crítico con el TTIP, con una metodología (Modelo de las Naciones Unidas de Política Global) utilizada por el Programa de las Naciones Unidas para el Desarrollo (PNUD), realizado por la Universidad de Tufts, concluye, entre otras cosas, que se perderían 600.000 puestos de trabajo en la UE, las rentas de trabajo se reducirían en su participación en el PIB y se perderían ingresos públicos.<br><br>Las conclusiones favorables a la creación de empleo debido al TTIP, son negadas por la experiencia de otros tratados como el Acuerdo de Libre Comercio de Norteamérica (NAFTA), firmado en 1994, donde se afirmaba que se crearían un total de 20 millones de empleos, sin embargo, lejos de esto, hubo una pérdida de un millón de empleos y se destruyó el subsector del maíz mexicano por la invasión del maíz transgénico estadounidense con precios muy bajos.<br><br>Impacto en los derechos laborales<br><br>En lo que se refiere a los derechos laborales, hay que tener en cuenta la “armonización” de la regulación, la igualación a la baja. Se rebajarán los derechos laborales de la UE al nivel existente en EE.UU.<br><br>Así, en  EE.UU. los derechos laborales brillan por su casi total ausencia y en la Unión Europea por ahora están garantizados, pero no armonizados, al menos formalmente, pero se conculcan cada vez más.<br><br>EE.UU. no ha firmado los convenios de la Organización Internacional del Trabajo (OIT) relativos a la negociación colectiva y al derecho de organización y asociación, así como los que se refieren a la igualdad de remuneración entre hombres y mujeres, al apoyo a los trabajadores y trabajadoras con responsabilidades familiares, el trabajo doméstico, así como el convenio sobre la protección de la maternidad (regulan los permisos, prestaciones, derecho a la lactancia…).<br><br>Tampoco ha ratificado la Convención sobre la eliminación de todas las formas de discriminación de la mujer (CEDAW por sus siglas en inglés), que fue aprobado el 18 de diciembre de 1979 por la Asamblea General de las Naciones Unidas, el cual entró en vigor el 3 de septiembre de 1981;  ni el Pacto Internacional de Derechos Económicos (incluidos los derechos laborales y de salud), Sociales y Culturales, adoptado por dicha Asamblea, mediante la resolución 2200 A (XXI) de 16 de diciembre de 1966 y que entró en vigor el 3 de enero de 1976.<br><br>Además, entre los Estados de la Unión existe una gran competitividad por atraer inversores, tanto de otros Estados como de países extranjeros, para lo cual en 24 de ellos han rebajado los salarios y recortado derechos en seguridad y salud laboral. La negociación colectiva y la libertad sindical no están reconocidas, por consiguiente el derecho de huelga y la libertad sindical han desaparecido del mundo laboral.<br><br>Se dan “facilidades para trabajar” (disponibilidad para el empleo o empleabilidad) en lugar de  trabajo. Se ha implantado la aceptación de cualquier puesto de trabajo bajo presión por parte de las personas paradas, que se denomina paradójicamente right to work (derecho a trabajar). No está establecido el salario mínimo, ni la seguridad y la salud en el centro de trabajo.<br><br>Los trabajadores y trabajadoras de algunas multinacionales, como Wal-Mart y McDonal´s, cobran salarios de hambre y, tanto es  así, que tienen que solicitar los bonos de alimentación que concede el gobierno estadounidense a las personas pobres.<br><br>Esta es la situación laboral que muy probablemente podría implantarse en los países de la UE, en aras de la competitividad, si llegara a firmarse el TTIP.<br><br>Visita esta web para ver y añadir movilizaciones contra el TTIP a nivel mundial: <A HREF=""https://www.globaltradeday.org"">https://www.globaltradeday.org</A>";"NULL";"NULL";"2024-07-11 10:08:38";"2024-07-11 10:08:38"
