"id","nombre","email","email_verified_at","email2","direccion","descripcion","telefono","responsable","ccaa_id","provincia_id","municipio_id","remember_token","created_at","updated_at"
"1","A Coruña","acoruna@cgtferroviario.es",NULL,"renfecor@cgtgalicia.org","-","La sección de A Coruña","274242","Ángel Valladares","12","15","1404",NULL,"2024-01-02 14:29:26","2024-01-03 21:10:22"
"2","Álava","alava@cgtferroviario.es",NULL,"Sff-cgt@cgt.es","Avda","La sección de Álava","-","Josué","16","1","2715",NULL,"2024-01-02 14:29:26","2024-01-03 18:10:27"
"3","Albacete","albacete@cgtferroviario.es",NULL,"cgtenrique@gmail.com","-","La sección de Albacete","-","-","8","2","100",NULL,"2024-01-02 14:29:26","2024-01-03 21:09:35"
"4","Alicante","alicante@cgtferroviario.es",NULL,"cgtferroviario@gmail.com","-","La sección de Alicante","-","Javier Palomino","10","3","628",NULL,"2024-01-02 14:29:26","2024-01-03 21:08:57"
"5","Almería","almeria@cgtferroviario.es",NULL,"sffcgtalmeria@gmail.com","-","La sección de Almería","331051","Alberto Oliveira","1","4","582",NULL,"2024-01-02 14:29:26","2024-01-03 21:08:18"
"6","Asturias","asturies@cgtferroviario.es",NULL,"cgtrenfeasturias@gmail.com","-","La sección de Asturias","281312","Diego Sánchez","3","33","2077",NULL,"2024-01-02 14:29:26","2024-01-03 21:07:28"
"7","Ávila","avila@cgtferroviario.es",NULL,"cgtavila@gmail.com","-","La sección de Ávila","184237/998390","Félix Huete","7","5","872",NULL,"2024-01-02 14:29:26","2024-01-03 20:00:20"
"8","Badajoz","badajoz@cgtferroviario.es",NULL,"badajozcgt@gmail.com","-","La sección de Badajoz","-","Pablo López","11","6","678",NULL,"2024-01-02 14:29:26","2024-01-03 21:06:51"
"9","Barcelona","barcelona@cgtferroviario.es",NULL,"sffcgtbcn@cgt.es","-","La sección de Barcelona","556436/556010/556139","Marcos","9","8","875",NULL,"2024-01-02 14:29:26","2024-01-03 21:04:35"
"10","Bizkaia","bizkaia@cgtferroviario.es",NULL,"cgtrenbilbo@gmail.com","-","La sección de Bizkaia","679446/998013","Iker Izquierdo","16","48","962",NULL,"2024-01-02 14:29:26","2024-01-03 21:03:57"
